iter	Logloss
0	0.6898799451
1	0.686264674
2	0.6828021113
3	0.6797052229
4	0.6761610864
55	0.671570386
6	0.6682610727
7	0.6649434363
8	0.6615320906
9	0.6598046205
10	0.6565643432
11	0.6535772075
12	0.6503360505
13	0.6479339833
14	0.6449507778115	0.6419844801616	0.63853508117	0.6337820217
18	0.6305986023
19	0.6277397469
20	0.6250072776
21	0.6223571738
22	0.6194614447
23	0.6188252115
24	0.6136524969
25	0.6106813634226	0.6077148241
27	0.605040452
2828	0.6052741652929	0.6028536723030	0.6001281231	31	0.5975803932	0.5942337798
33	0.5920223282
34	0.5893902463
35	35	0.5878738436	36	0.5854057593
37	0.5828277524
38	0.5803197407
39	0.57779540	0.40	0.57525541	0.41	0.5729391488
42	0.5706182033
43	0.5685062256
44	0.5662164956
45	0.5644846	0.546	0.5622147	0.547	0.5600648	0.548	0.5578249	0.549	0.5554251637
50	0.553192859
51	0.5509894632
52	0.5488309139
53	0.5469037639
54	0.5448543168
55	0.5429911911
56	0.5409019742
57	0.538946051
58	0.5369663823
59	0.5349326157
60	0.5330530646
61	0.5310044668
62	0.5290446351
63	0.5273027764
64	0.5253076097
65	0.5234786278
66	0.521575423
67	0.5198202413
68	0.5181769	0.569	0.5162570	0.570	0.5143571	0.571	0.5125570499
72	0.5107181796
73	0.5092345203
74	0.5073360328
75	0.506066095
76	0.50496277	0.77	0.50332078	0.78	0.50154279	0.79	0.49978980	0.80	0.49820281	0.81	0.4963175117
82	0.4948538515
83	0.4932962749
84	0.4918044809
85	0.4905091821
86	0.4890056779
87	0.4877108047
88	0.4861023841
89	0.4851528035
90	0.4891	0.483291	0.4892	0.481892	0.4893	0.48012322
94	0.4785990094
95	0.47741195	0.96	0.4758705603
97	0.4742455386
98	0.4727010647
99	0.4713134463
100	0.4698699674
101	0.4685552116
102	0.4670919397
103	0.4657248529
104	0.4644043911
105	0.4629715936
106	0.4616805153
107	0.4607458034
108	0.4594781897
109	0.4581201753
110	0.456748159
111	0.4556465544
112	0.4543932426
113	0.4530710025
114	0.4515611005
115	0.4505810651
116	0.4492053213
117	0.4479176519
118	0.4467150538
119	0.4456178889
120	0.4442647383
121	0.4430686678
122	0.4419316501
123	0.4406748306
124	0.4396170838
125	0.4384015768
126	0.4373491797
41
127	0.4370299904
128	0.4359006088
7
129	0.4306049915
130	0.4296086241
131	0.4284483392
132	0.4273598326
3511936
134	0.4283645866
135	0.4272992272
136	0.4262586927
137	0.4253808571
138	0.4242965534
139	0.4235063175
82349
140	0.4264595501
141	0.4252723111
